Rifugiato;Annuncio;Label
Montaggio di mobili;Addetto montaggio e riparazione mobili presso aziende di arredamento;1
Riparazione di dispositivi elettronici;Tecnico specializzato nella manutenzione di apparecchiature audio/video;1
Installazione di climatizzatori;Tecnico HVAC per installazione e manutenzione;1
Sostituzione di piastrelle e pavimenti;Muratore per rifacimento di pavimentazioni e rivestimenti;1
Pulizia di case e abitazioni;Impresa di pulizie cerca addetto per pulizie in ville e appartamenti;1
Pulizia di uffici e locali commerciali;Addetto alla manutenzione e pulizia di spazi aziendali;1
Sanificazione di ambienti;Operatore di pulizia e sanificazione per hotel e strutture turistiche;1
Lavaggio e stiratura di indumenti;Personale per tintoria – Lavaggio a secco e trattamento antimacchia;1
Organizzazione degli spazi in casa;Esperto in soluzioni salvaspazio per piccoli appartamenti;1
Pulizia di grandi superfici come magazzini;Specialista in pulizia di capannoni e ambienti industriali;1
Pulizia e cura di tappeti e tessuti delicati;Addetto al trattamento antimacchia e igienizzazione di tappeti antichi;1
Servizio di pulizia post-ristrutturazione;Tecnico pulizie civili e industriali per cantieri e ristrutturazioni;1
Preparazione di pasti casalinghi;Chef per servizio di catering privato;1
Panificazione e preparazione di dolci;Addetto alla preparazione di dolci e biscotti per panificio locale;1
Cucina internazionale (es. sushi, cucina messicana);Aiuto cuoco per ristorante thailandese, richieste basi di cucina asiatica;1
Preparazione di catering per eventi;Addetto alla logistica e preparazione di catering per grandi eventi;1
Barista e preparazione di cocktail;Barman per hotel di lusso, specializzato in cocktail d’autore;1
Servizio ai tavoli;Banconista e servizio ai tavoli per bar/caffetteria;1
Gestione di ristoranti e cucine;Food & Beverage Manager per hotel 4 stelle;1
Conoscenza di diete speciali (vegana, senza glutine);Addetto alla preparazione di pasti speciali per ospedali e cliniche;1
Programmazione in Python;Analista dati con esperienza in Python e SQL;1
Programmazione in JavaScript;Software Engineer per sviluppo di applicazioni web con JavaScript;1
Creazione di siti web (HTML/CSS);Esperto in UI/UX design per siti web e app mobile;1
Sviluppo di applicazioni mobile;Software Engineer specializzato in Flutter e React Native;1
Analisi dei dati con Excel o Power BI;Consulente aziendale per ottimizzazione dei dati con Power BI;1
Automazione dei processi con script;Specialista in RPA (Robotic Process Automation) con UiPath;1
Sviluppo di videogiochi;Sviluppatore mobile per giochi Android/Ios;1
Configurazione di reti informatiche;Tecnico installatore di reti LAN e WAN per aziende;1
Sicurezza informatica;Ingegnere della sicurezza per test di vulnerabilità e penetration testing;1
Creazione di database;Data Engineer specializzato in architettura di database cloud;1
Assistenza tecnica hardware/software;Supporto tecnico remoto per la risoluzione di problemi hardware e software;1
Utilizzo di strumenti CAD;Tecnico CAD specializzato nella creazione di disegni per impianti elettrici e civili;1
Progettazione grafica (Photoshop, Illustrator);Art Director per progetti di comunicazione visiva e branding aziendale;1
Progettazione di interni;Esperto in ristrutturazioni di interni con attenzione ai dettagli e al comfort abitativo;1
Disegno tecnico e industriale;Tecnico disegnatore per supporto nella progettazione di impianti industriali;1
Progettazione 3D (Blender, AutoCAD);Ingegnere meccanico per progettazione 3D e simulazioni con AutoCAD e Blender;1
Fotografia professionale;Fotografo freelance con esperienza in ritratti, reportage e documentari creativi;1
Editing video (Premiere, Final Cut);Video Maker per produzione e post-produzione di cortometraggi e film indipendenti;1
Creazione di loghi e brand identity;Art Director con focus su brand identity e immagine coordinata;1
Progettazione di materiali pubblicitari;Art Director per la realizzazione di campagne pubblicitarie;1
Creazione di contenuti per social media;Esperto in grafica e storytelling per contenuti social di brand;1
Produzione musicale;Ingegnere del suono per post-produzione audio in TV e radio;1
Gestione di campagne pubblicitarie;Social Media Manager per la gestione di campagne promozionali sui social;1
Creazione di contenuti per blog;Blogger per la creazione di contenuti originali su viaggi e lifestyle;1
Scrittura SEO per il web;Redattore web con competenze in ottimizzazione SEO e scrittura persuasiva;1
Analisi di mercato;Business Analyst con focus sull'analisi dei dati di mercato e previsioni finanziarie.;1
Gestione di account social media;Social Media Strategist per sviluppo e ottimizzazione delle campagne pubblicitarie su social;1
Pianificazione di strategie di marketing digitale;Growth Hacker con focus su strategie di acquisizione e conversione clienti;1
Email marketing;Copywriter esperto in email persuasive e ottimizzazione delle conversioni;1
Gestione di relazioni con i clienti (CRM);Addetto Customer Care con conoscenza di piattaforme CRM come Salesforce;1
Pubblicità su piattaforme come Google Ads o Facebook Ads;Esperto SEM per migliorare le performance delle campagne pubblicitarie su Google e Bing;1
Creazione di newsletter;Grafico esperto nella realizzazione di template accattivanti per newsletter;1
Scrittura creativa e narrativa;Autore di contenuti digitali per blog e social media;1
Redazione di articoli giornalistici;Content Editor per testata giornalistica digitale;1
Traduzione di documenti in lingue straniere;Addetto alla localizzazione di software e siti web;1
Revisione e correzione di testi;Redattore tecnico per revisione di documentazione tecnica e manualistica;1
Scrittura di manuali tecnici;Technical Writer per manualistica riguardante macchinari industriali;1
Scrittura accademica e tesi di laurea;Esperto in scrittura accademica per la redazione di tesi di laurea e articoli scientifici;1
Scrittura di sceneggiature;Storyteller creativo per sviluppo di contenuti per videogame e media interattivi;1
Insegnamento di materie scolastiche (matematica, italiano);Docente di italiano e matematica per corsi di preparazione agli esami di maturità;1
Tutoraggio per studenti universitari;Tutor di economia con esperienza in analisi finanziaria;1
Assistenza ai compiti per bambini;Educatore professionale per insegnamento e supporto nei compiti per bambini con disturbi dell'apprendimento;1
Insegnamento di lingue straniere;Professore universitario di linguistica applicata;1
Lavorare con bambini e animatori per eventi;Organizzatore di spettacoli di magia e intrattenimento per bambini;1
Supporto educativo per bambini con disabilità;Pedagogista esperto in strategie di apprendimento inclusivo;1
Lezioni di musica (pianoforte, chitarra);Tutor musicale per studenti principianti e avanzati;1
Lezioni di sport o personal trainer;Allenatore di calcio per giovani e adulti;1
Creazione di corsi online;Content Creator per piattaforme educative digitali;1
Lavorazione del legno;Carpentiere specializzato nella costruzione di strutture in legno;1
Creazione di gioielli artigianali;Tecnico di produzione per creazione di gioielli con materiali preziosi;1
Cucito e riparazione di abiti;Tecnico/a del cucito per riparazioni di divise aziendali;1
Decorazione di interni;Designer di vetrine per negozi e showroom;1
Falegnameria su misura;Tecnico falegname per allestimenti scenografici in legno;1
Realizzazione di sculture o opere d’arte;Modellatore 3D per scultura digitale e stampa 3D artistica;1
Restauro di mobili antichi;Esperto in restauro ligneo per antiquariato e collezionismo;1
Origami o arti decorative;Esperto in allestimenti decorativi per eventi e cerimonie;1
Assistenza a persone anziane;Educatore per attività di socializzazione e stimolazione cognitiva per anziani;1
Cura e assistenza a persone con disabilità;Infermiere per assistenza domiciliare a persone con disabilità;1
Massaggi e trattamenti benessere;Terapista del benessere per massaggi sportivi e recupero muscolare;1
Consulenza nutrizionale;Consulente per programmi nutrizionali per la perdita di peso e il miglioramento della salute;1
Consulenza per fitness e allenamenti personalizzati;Fitness Specialist per allenamenti personalizzati per principianti e atleti avanzati;1
Babysitting e cura di bambini piccoli;Assistente familiare per bambini, con esperienza in alimentazione e igiene infantile;1
Coaching personale e motivazionale;Life Coach per supporto a persone in transizione di carriera;1
Interpretariato in tempo reale;Interprete per fiere e congressi internazionali;1
Traduzione simultanea durante eventi;Interprete per eventi diplomatici e internazionali, lingua inglese e francese;1
Insegnamento di italiano per stranieri;Insegnante madrelingua italiana per corsi di italiano online per adulti;1
Traduzione testi tecnici in inglese, francese, ecc.;Specialista in traduzione di brevetti e documenti tecnici per il settore tecnologico;1
Supporto per esami di certificazioni linguistiche;Assistente didattico per preparazione esami Cambridge (FCE, CAE) e certificazioni in lingue straniere;1
Creazione di contenuti multilingue per aziende;Copywriter esperto nella redazione di testi pubblicitari multilingue per aziende globali;1
Organizzazione di eventi e matrimoni;Specialista in eventi nuziali con capacità di gestione di fornitori e budget;1
Gestione di team e progetti complessi;Coordinatore di progetti per gestione risorse e pianificazione strategica;1
Pianificazione logistica e trasporti;Esperto in logistica e trasporti per implementazione di soluzioni innovative per la movimentazione delle merci;1
Saldatura - ScuolaPrimaria;Operatore scolastico per introduzione alla saldatura in laboratori didattici;1
Riparazione di elettrodomestici - ScuolaPrimaria;Riparatore elettrodomestici per scuole primarie, con focus su dispositivi educativi;1
Manutenzione di impianti elettrici;Tecnico di assistenza e manutenzione di impianti elettrici per centri commerciali;1
Manutenzione di impianti idraulici;Addetto alla manutenzione di impianti di climatizzazione e riscaldamento;1
Riparazione di veicoli;Tecnico meccatronico per diagnostica e riparazione di sistemi elettronici auto;1
Verniciatura di pareti e superfici;Addetto alla rifinitura e verniciatura nel settore della carpenteria metallica;1
Manutenzione del verde e giardinaggio;Operatore specializzato nella potatura e abbattimento di alberi;1
Manutenzione di ascensori;Installatore e manutentore di ascensori con esperienza in modernizzazione impianti;1
Montaggio di mobili;Tecnico arredatore con esperienza nel montaggio di mobili modulari;1
Riparazione di dispositivi elettronici;Riparatore di elettrodomestici e piccoli dispositivi elettronici;1
Installazione di climatizzatori;Specialista in impianti termoidraulici con focus su climatizzazione;1
Sostituzione di piastrelle e pavimenti;Tecnico installatore di parquet e pavimenti flottanti;1
Pulizia di case e abitazioni;Addetto pulizie per case vacanze e B&B;1
Pulizia di uffici e locali commerciali;Impresa di pulizie cerca personale per uffici e negozi;1
Sanificazione di ambienti;Addetto alla sanificazione di mezzi di trasporto pubblici;1
Lavaggio e stiratura di indumenti;Addetto/a a lavanderia self-service – Supporto clienti e gestione macchine;1
Organizzazione degli spazi in casa;Organizzatore professionale per case e uffici;1
Pulizia di grandi superfici come magazzini;Responsabile delle pulizie in magazzini e aree di stoccaggio;1
Pulizia e cura di tappeti e tessuti delicati;Specialista nel restauro e lavaggio di arazzi e tessuti d’epoca;1
Servizio di pulizia post-ristrutturazione;Addetto sanificazione ambienti dopo lavori edili;1
Preparazione di pasti casalinghi;Cuoco/a per servizio pasti a domicilio per anziani;1
Panificazione e preparazione di dolci;Cake designer specializzato in decorazione e personalizzazione di torte;1
Cucina internazionale (es. sushi, cucina messicana);Pizzaiolo con esperienza in pizza napoletana e varianti internazionali;1
Preparazione di catering per eventi;Responsabile di cucina per servizio catering;1
Barista e preparazione di cocktail;Barista con esperienza in preparazione di bevande alcoliche e caffè;1
Servizio ai tavoli;Addetto sala per pub con esperienza in spillatura di birra;1
Gestione di ristoranti e cucine;Chef Executive con competenze manageriali per ristorante gourmet;1
Conoscenza di diete speciali (vegana, senza glutine);Responsabile di cucina per catering con opzioni vegane e gluten-free;1
Programmazione in Python;Sviluppatore di applicazioni web con Flask e Python;1
Programmazione in JavaScript;Programmatore JavaScript per piattaforme e-commerce;1
Creazione di siti web (HTML/CSS);Specialista in WordPress e personalizzazione di template;1
Sviluppo di applicazioni mobile;Full Stack Developer con focus su applicazioni mobili;1
Analisi dei dati con Excel o Power BI;Analista di mercato con competenze in Excel per report e visualizzazioni;1
Automazione dei processi con script;Sistemista IT per automazione di processi di deployment;1
Sviluppo di videogiochi;Artista 3D per modellazione di ambienti e personaggi;1
Configurazione di reti informatiche;Esperto in reti wireless per progettazione e implementazione;1
Sicurezza informatica;Addetto alla gestione della sicurezza in cloud e data protection;1
Creazione di database;Esperto in modellazione dati e normalizzazione di database;1
Assistenza tecnica hardware/software;Tecnico IT con esperienza in troubleshooting di sistemi operativi e configurazioni hardware;1
Utilizzo di strumenti CAD;Ingegnere progettista CAD con esperienza in realizzazione di schemi elettrici e meccanici;1
Progettazione grafica (Photoshop, Illustrator);Graphic Designer per la realizzazione di campagne pubblicitarie digitali;1
Progettazione di interni;Progettista di ambienti multifunzionali e sostenibili per abitazioni e spazi pubblici;1
Disegno tecnico e industriale;Designer industriale con esperienza nella progettazione di prototipi e modelli;1
Progettazione 3D (Blender, AutoCAD);Artista 3D per creazione di contenuti visivi e animazioni in Blender;1
Fotografia professionale;Fotografo di prodotti per e-commerce e cataloghi digitali;1
Editing video (Premiere, Final Cut);Tecnico di post-produzione per video aziendali e istituzionali;1
Creazione di loghi e brand identity;UX/UI Designer con esperienza in design di loghi e interfacce visive;1
Progettazione di materiali pubblicitari;Specialista in grafica editoriale per riviste e magazine;1
Creazione di contenuti per social media;Digital Marketing Specialist con focus su strategie social;1
Produzione musicale;Beatmaker e produttore per artisti hip-hop e pop;1
Gestione di campagne pubblicitarie;Growth Marketer con esperienza in campagne pubblicitarie multicanale;1
Creazione di contenuti per blog;Specialista in content marketing per sviluppo e gestione di blog aziendali;1
Scrittura SEO per il web;SEO Specialist per la gestione di contenuti ottimizzati e keyword strategy;1
Analisi di mercato;Project Manager per progetti di analisi di mercato e sviluppo di strategie di espansione.;1
Gestione di account social media;Digital Marketing Specialist con focus su analisi dati social e performance metriche;1
Pianificazione di strategie di marketing digitale;E-commerce Manager per pianificazione di strategie digitali di vendita;1
Email marketing;Growth Hacker con esperienza in segmentazione e A/B testing nelle email;1
Gestione di relazioni con i clienti (CRM);Digital Marketing Specialist con esperienza in strategie di CRM e automazione;1
Pubblicità su piattaforme come Google Ads o Facebook Ads;Performance Marketer con focus su lead generation tramite Facebook Ads;1
Creazione di newsletter;Specialista in CRM e strategie di fidelizzazione tramite newsletter personalizzate;1
Scrittura creativa e narrativa;Ghostwriter per biografie e opere di narrativa;1
Redazione di articoli giornalistici;Blogger per la scrittura di articoli su cultura e spettacolo;1
Traduzione di documenti in lingue straniere;Revisore e traduttore di documenti per istituzioni europee;1
Revisione e correzione di testi;Revisore di traduzioni per verifica qualità e coerenza linguistica;1
Scrittura di manuali tecnici;Esperto in scrittura e revisione di documenti tecnici per dispositivi medici;1
Scrittura accademica e tesi di laurea;Scrittore freelance con esperienza nella creazione di contenuti per tesi, articoli e pubblicazioni accademiche;1
Scrittura di sceneggiature;Collaboratore sceneggiatore per progetti di documentari e reportage visivi;1
Insegnamento di materie scolastiche (matematica, italiano);Insegnante di italiano per corsi di lingua per stranieri;1
Tutoraggio per studenti universitari;Insegnante di linguistica per studenti di lingue moderne;1
Assistenza ai compiti per bambini;Supporto scolastico per bambini con necessità di recupero in diverse materie scolastiche;1
Insegnamento di lingue straniere;Formatore di tedesco per programmi di scambio culturale;1
Lavorare con bambini e animatori per eventi;Animatore sportivo per attività all'aperto e giochi di gruppo;1
Supporto educativo per bambini con disabilità;Operatore socio-educativo per supporto a bambini con disabilità cognitive;1
Lezioni di musica (pianoforte, chitarra);Educatore musicale per laboratori didattici nelle scuole;1
Lezioni di sport o personal trainer;Istruttore di yoga e pilates per lezioni individuali e collettive;1
Creazione di corsi online;Formatore digitale con esperienza in sviluppo di corsi SCORM e xAPI;1
Lavorazione del legno;Progettista di arredamenti su misura in legno massello;1
Creazione di gioielli artigianali;Modellista di gioielli per prototipazione e lavorazione a mano;1
Cucito e riparazione di abiti;Esperto/a in sartoria per creazione e modifica abiti da cerimonia;1
Decorazione di interni;Decoratore esperto in pittura murale e affreschi;1
Falegnameria su misura;Progettista e costruttore di infissi e porte in legno su misura;1
Realizzazione di sculture o opere d’arte;Restauratore di sculture antiche e opere d'arte tridimensionali;1
Restauro di mobili antichi;Falegname restauratore per riparazioni e trattamenti di conservazione;1
Origami o arti decorative;Creatore di installazioni artistiche con carta e materiali decorativi;1
Assistenza a persone anziane;Assistente familiare per compagnia e gestione delle necessità quotidiane di anziani autosufficienti;1
Cura e assistenza a persone con disabilità;Tecnico riabilitativo per assistenza psicologica e motoria a persone disabili;1
Massaggi e trattamenti benessere;Tecnico per trattamenti viso e corpo, esperto in massaggi drenanti;1
Consulenza nutrizionale;Esperto in nutrizione per l’infanzia e consulenza a famiglie e scuole;1
Consulenza per fitness e allenamenti personalizzati;Consulente per programmi di allenamento post-riabilitazione e miglioramento della mobilità;1
Babysitting e cura di bambini piccoli;Babysitter con referenze per occuparsi di bambini da 1 a 3 anni in orari flessibili;1
Coaching personale e motivazionale;Motivational Speaker per eventi aziendali e conferenze;1
Interpretariato in tempo reale;Traduttore simultaneo per piattaforme online e webinar;1
Traduzione simultanea durante eventi;Traduttore simultaneo per eventi di cultura e arte, con esperienza in lingua tedesca;1
Insegnamento di italiano per stranieri;Docente esperto in insegnamento della lingua italiana a migranti e rifugiati;1
Traduzione testi tecnici in inglese, francese, ecc.;Traduttore con esperienza nella localizzazione di software e siti web in più lingue;1
Supporto per esami di certificazioni linguistiche;Preparatore esami di lingua per certificazioni B1, B2, C1, C2;1
Creazione di contenuti multilingue per aziende;Specialista SEO per ottimizzazione di contenuti multilingue e localizzazione siti web aziendali;1
Organizzazione di eventi e matrimoni;Wedding Designer per la personalizzazione di matrimoni unici;1
Gestione di team e progetti complessi;Responsabile di progetti complessi in ambito ingegneristico;1
Pianificazione logistica e trasporti;Project Manager per la pianificazione e il monitoraggio dei trasporti e delle spedizioni;1
Saldatura - ScuolaPrimaria;Specialista in tecniche di saldatura per corsi creativi nelle scuole primarie;1
Riparazione di elettrodomestici - ScuolaPrimaria;Esperto in riparazione di impianti tecnologici scolastici, inclusi elettrodomestici;1
Manutenzione di impianti elettrici;Elettricista esperto per manutenzione e riparazione impianti di climatizzazione;1
Manutenzione di impianti idraulici;Tecnico installatore di sistemi idraulici e di irrigazione;1
Riparazione di veicoli;Specialista in riparazione di veicoli elettrici e ibridi;1
Verniciatura di pareti e superfici;Verniciatore di mobili e complementi d’arredo in falegnameria;1
Manutenzione del verde e giardinaggio;Esperto in impianti di irrigazione per aree verdi e giardini;1
Manutenzione di ascensori;Tecnico ascensorista per assistenza e pronto intervento su guasti;1
Montaggio di mobili;Montatore mobili per traslochi e allestimenti di interni;1
Riparazione di dispositivi elettronici;Tecnico hardware per diagnostica e riparazione di PC e server;1
Installazione di climatizzatori;Tecnico di assistenza per climatizzatori commerciali;1
Sostituzione di piastrelle e pavimenti;Operatore per sostituzione di piastrelle in bagni e cucine;1
Pulizia di case e abitazioni;Servizio di pulizia a domicilio per anziani e persone con disabilità;1
Pulizia di uffici e locali commerciali;Addetto alle pulizie per studi professionali e coworking;1
Sanificazione di ambienti;Tecnico specializzato nella disinfezione di scuole e asili;1
Lavaggio e stiratura di indumenti;Collaboratore domestico – Lavaggio e cura di indumenti a domicilio;1
Organizzazione degli spazi in casa;Addetto alla riorganizzazione e pulizia di ambienti domestici;1
Pulizia di grandi superfici come magazzini;Addetto/a alla manutenzione e pulizia di aree produttive;1
Pulizia e cura di tappeti e tessuti delicati;Pulitore di moquette per hotel e uffici di lusso;1
Servizio di pulizia post-ristrutturazione;Operatore pulizie straordinarie per rimozione macerie e residui edili;1
Preparazione di pasti casalinghi;Specialista in cucina tradizionale e preparazione pasti salutari;1
Panificazione e preparazione di dolci;Addetto alla produzione di croissant e lievitati per pasticceria;1
Cucina internazionale (es. sushi, cucina messicana);Chef di cucina etnica per hotel con menu internazionale;1
Preparazione di catering per eventi;Pasticcere per catering dolci e dessert per eventi speciali;1
Barista e preparazione di cocktail;Mixologist per club esclusivo con focus su cocktail innovativi;1
Servizio ai tavoli;Runner di sala per ristorante di fascia alta;1
Gestione di ristoranti e cucine;Supervisor per franchising di fast food;1
Conoscenza di diete speciali (vegana, senza glutine);Dietista per palestra con focus su alimentazione sportiva vegana;1
Programmazione in Python;Esperto di Intelligenza Artificiale con focus su Python e TensorFlow;1
Programmazione in JavaScript;Esperto in JavaScript per sviluppo di applicazioni mobile con React Native;1
Creazione di siti web (HTML/CSS);Web developer con conoscenze di SEO e ottimizzazione performance;1
Sviluppo di applicazioni mobile;Junior Mobile Developer per società fintech;1
Analisi dei dati con Excel o Power BI;Addetto al controllo di gestione e analisi dei KPI con Excel;1
Automazione dei processi con script;Esperto in PowerShell per gestione automatizzata di reti aziendali;1
Sviluppo di videogiochi;Sound Designer per effetti sonori e colonne sonore di videogiochi;1
Configurazione di reti informatiche;Specialista in networking e infrastrutture cloud;1
Sicurezza informatica;Specialista in incident response e gestione di attacchi informatici;1
Creazione di database;Specialista in sicurezza informatica e protezione dati nei database;1
Assistenza tecnica hardware/software;Specialista in manutenzione e riparazione hardware per dispositivi aziendali;1
Utilizzo di strumenti CAD;Designer di prodotto con esperienza nell'uso di AutoCAD e SolidWorks;1
Progettazione grafica (Photoshop, Illustrator);Senior Graphic Designer con focus sulla progettazione di packaging e illustrazioni;1
Progettazione di interni;Consulente per la progettazione di interni residenziali, con focus su stile e funzionalità;1
Disegno tecnico e industriale;Specialista in disegno tecnico e simulazione 3D per componenti automotive;1
Progettazione 3D (Blender, AutoCAD);Progettista CAD con esperienza nella realizzazione di progetti complessi e dettagliati;1
Fotografia professionale;Fotografo creativo per campagne pubblicitarie e progetti di branding aziendale;1
Editing video (Premiere, Final Cut);Esperto in color grading e correzione del colore per produzioni cinematografiche;1
Creazione di loghi e brand identity;Specialista in rebranding aziendale e sviluppo di identità visive moderne;1
Progettazione di materiali pubblicitari;Esperto in creazione di banner digitali per social media;1
Creazione di contenuti per social media;Community Manager per interazione e moderazione su piattaforme social;1
Produzione musicale;Responsabile di produzione musicale per etichetta discografica;1
Gestione di campagne pubblicitarie;SEO & SEM Specialist per gestione di campagne pubblicitarie su motori di ricerca;1
Creazione di contenuti per blog;Redattore web con esperienza nella scrittura di contenuti per blog finanziari;1
Scrittura SEO per il web;Blogger professionista per creazione di articoli ottimizzati in ottica SEO;1
Analisi di mercato;Esperto in valutazione di tendenze e comportamenti dei consumatori per aziende internazionali.;1
Gestione di account social media;Social Media Content Creator per la creazione di contenuti originali per account aziendali;1
Pianificazione di strategie di marketing digitale;Digital Advertising Specialist per gestione di campagne PPC su Google Ads;1
Email marketing;E-commerce Marketing Specialist per campagne email mirate e retargeting;1
Gestione di relazioni con i clienti (CRM);Business Development Manager per acquisizione e gestione relazioni con clienti B2B;1
Pubblicità su piattaforme come Google Ads o Facebook Ads;Growth Hacker con esperienza in strategie di acquisizione clienti tramite paid ads;1
Creazione di newsletter;Social Media Manager con competenza nell'integrazione di newsletter e campagne digitali;1
Scrittura creativa e narrativa;Game writer per la sceneggiatura di videogiochi e mondi interattivi;1
Redazione di articoli giornalistici;Giornalista sportivo per cronache e interviste;1
Traduzione di documenti in lingue straniere;Specialista in traduzione di brevetti e documenti giuridici;1
Revisione e correzione di testi;Esperto in revisione e adattamento di sceneggiature cinematografiche;1
Scrittura di manuali tecnici;Project manager per la gestione della documentazione tecnica in ambito IT;1
Scrittura accademica e tesi di laurea;Copywriter specializzato in scrittura accademica e assistenza nella preparazione di tesi di laurea;1
Scrittura di sceneggiature;Scrittore di sceneggiature per produzioni teatrali e spettacoli dal vivo;1
Insegnamento di materie scolastiche (matematica, italiano);Specialista in didattica della matematica e italiano per programmi educativi online;1
Tutoraggio per studenti universitari;Supporto didattico per studenti di medicina e biologia;1
Assistenza ai compiti per bambini;Tutor specializzato in lingue straniere per bambini della scuola primaria;1
Insegnamento di lingue straniere;Educatore linguistico per bambini in età prescolare;1
Lavorare con bambini e animatori per eventi;Assistente animatore in villaggi turistici per famiglie;1
Supporto educativo per bambini con disabilità;Insegnante di sostegno per scuola primaria e secondaria;1
Lezioni di musica (pianoforte, chitarra);Musicista professionista per workshop di chitarra fingerstyle;1
Lezioni di sport o personal trainer;Coach sportivo per atleti agonisti e amatoriali;1
Creazione di corsi online;E-learning Developer per realizzazione di corsi online con Articulate e Captivate;1
Lavorazione del legno;Addetto alla verniciatura e lucidatura di superfici in legno;1
Creazione di gioielli artigianali;Restauratore di gioielli d'epoca e antichi;1
Cucito e riparazione di abiti;Operatore/trice macchine da cucire industriali per produzione tessile;1
Decorazione di interni;Architetto d'interni per ristrutturazioni e restyling di spazi abitativi;1
Falegnameria su misura;Specialista in lavorazione del legno per yacht e imbarcazioni;1
Realizzazione di sculture o opere d’arte;Insegnante di scultura e arti plastiche in accademie d’arte;1
Restauro di mobili antichi;Restauratore di mobili per allestimenti museali e storici;1
Origami o arti decorative;Modellista per prototipi di design con tecniche di piegatura;1
Assistenza a persone anziane;Fisioterapista per riabilitazione e mantenimento motorio di persone anziane;1
Cura e assistenza a persone con disabilità;Assistente personale per supporto in attività quotidiane a persone con disabilità;1
Massaggi e trattamenti benessere;Massaggiatore/a per resort di lusso con esperienza in massaggi rilassanti e terapici;1
Consulenza nutrizionale;Nutrizionista sportivo per miglioramento delle performance atletiche;1
Consulenza per fitness e allenamenti personalizzati;Personal Trainer per sportivi amatoriali con programmi personalizzati di allenamento;1
Babysitting e cura di bambini piccoli;Tata esperta in bambini piccoli, disponibile per turni serali e weekend;1
Coaching personale e motivazionale;Coach di sviluppo personale per percorsi di crescita e benessere;1
Interpretariato in tempo reale;Interprete per negoziazioni internazionali in ambito legale;1
Traduzione simultanea durante eventi;Interprete professionista per eventi sportivi internazionali;1
Insegnamento di italiano per stranieri;Formatore linguistico per programmi di integrazione culturale e linguistica;1
Traduzione testi tecnici in inglese, francese, ecc.;Esperto in traduzione di testi scientifici e medici, con focus su inglese e francese;1
Supporto per esami di certificazioni linguistiche;Consulente linguistico per esami di certificazione e strategie di preparazione;1
Creazione di contenuti multilingue per aziende;Social Media Manager per la gestione di profili aziendali in diverse lingue;1
Organizzazione di eventi e matrimoni;Responsabile di eventi con esperienza nella logistica e gestione del tempo;1
Gestione di team e progetti complessi;Project Manager per implementazione di nuovi sistemi ERP;1
Pianificazione logistica e trasporti;Specialista in pianificazione dei trasporti con esperienza nell’ottimizzazione delle risorse e dei percorsi;1
Saldatura - ScuolaPrimaria;Coordinatore di laboratorio di saldatura per progetti educativi scolastici;1
Riparazione di elettrodomestici - ScuolaPrimaria;Tecnico in assistenza elettrodomestici per la gestione di aule multimediali;1
Manutenzione di impianti elettrici;Tecnico impiantista per manutenzione e upgrade impianti elettrici fotovoltaici;1
Manutenzione di impianti idraulici;Specialista in manutenzione di impianti antincendio e reti idriche;1
Riparazione di veicoli;Gommista per montaggio, riparazione e sostituzione pneumatici;1
Verniciatura di pareti e superfici;Tecnico specializzato in rivestimenti e verniciature protettive per edilizia;1
Manutenzione del verde e giardinaggio;Addetto alla cura e manutenzione di campi sportivi in erba naturale;1
Manutenzione di ascensori;Responsabile della manutenzione di impianti di sollevamento per edifici commerciali;1
Montaggio di mobili;Operaio specializzato in montaggio mobili per negozi e showroom;1
Riparazione di dispositivi elettronici;Specialista nella riparazione di console da gioco e accessori elettronici;1
Installazione di climatizzatori;Installatore di sistemi di ventilazione e climatizzazione per uffici;1
Sostituzione di piastrelle e pavimenti;Posatore di pavimenti in ceramica e gres;1
Pulizia di case e abitazioni;Specialista pulizia post-ristrutturazione per appartamenti e case;1
Pulizia di uffici e locali commerciali;Specialista in pulizia e igienizzazione per strutture commerciali;1
Sanificazione di ambienti;Responsabile della sanificazione e controllo qualità negli ospedali;1
Lavaggio e stiratura di indumenti;Stiratrice professionale per atelier di moda – Cura tessuti pre-sfilata;1
Organizzazione degli spazi in casa;Consulente per arredi multifunzionali e design ergonomico;1
Pulizia di grandi superfici come magazzini;Tecnico della sanificazione per aziende di logistica;1
Pulizia e cura di tappeti e tessuti delicati;Operatore di lavanderia specializzato in lavaggi a secco per tappeti;1
Servizio di pulizia post-ristrutturazione;Addetto pulizia e igienizzazione locali post-ristrutturazione;1
Preparazione di pasti casalinghi;Personal chef per famiglie e privati;1
Panificazione e preparazione di dolci;Chef de partie per sezione pasticceria in ristorante stellato;1
Cucina internazionale (es. sushi, cucina messicana);Cuoco per ristorante vegetariano con influenza internazionale;1
Preparazione di catering per eventi;Cuoco per catering e ristorazione su yacht di lusso;1
Barista e preparazione di cocktail;Responsabile bar per resort, gestione drink list e preparazione;1
Servizio ai tavoli;Cameriere per ristorante italiano con esperienza;1
Gestione di ristoranti e cucine;Responsabile acquisti e fornitori per ristorazione;1
Conoscenza di diete speciali (vegana, senza glutine);Formatore di corsi di cucina per diete speciali;1
Programmazione in Python;Programmatore Python per analisi finanziaria e algoritmi di trading;1
Programmazione in JavaScript;Developer per sviluppo di dashboard interattive con D3.js e JavaScript;1
Creazione di siti web (HTML/CSS);Front-end engineer per sviluppo interfacce utente dinamiche;1
